Altium Designer Pick and Place Locations
C:\MyFiles\x-io\Services\MICA Lab\MICA-Glove-Carpus\Project Outputs for MICA-Glove-Carpus\Pick Place\Pick Place for MICA-Glove-Carpus.csv

========================================================================================================================
File Design Information:

Date:       25/06/24
Time:       13:00
Revision:   9601e35690d8f2c3a405de3b77fd62f214915b09
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"L2","12.2500mm","16.7500mm","TopLayer","90","3.3uH, 80mR (SRN3015C-3R3M)"
"L1","12.2500mm","23.7500mm","TopLayer","90","3.3uH, 80mR (SRN3015C-3R3M)"
"Y1","15.5000mm","34.5000mm","TopLayer","0","ECS-TXO-2520-33-240-AN-TR"
"C9","29.0000mm","14.7500mm","TopLayer","0","100nF"
"C10","35.2500mm","25.2500mm","TopLayer","270","100nF"
"C11","23.5000mm","14.7500mm","TopLayer","0","100nF"
"C12","35.2500mm","30.5000mm","TopLayer","270","100nF"
"C13","14.7500mm","18.2500mm","TopLayer","270","100nF"
"C14","30.0000mm","35.2500mm","TopLayer","0","100nF"
"C15","24.7500mm","35.2500mm","TopLayer","0","100nF"
"C16","14.7500mm","25.7500mm","TopLayer","270","100nF"
"C17","21.2500mm","35.2500mm","TopLayer","0","100nF"
"R1","30.7500mm","14.7500mm","TopLayer","180","10kR"
"C1","14.7500mm","23.5000mm","TopLayer","90","10uF"
"C2","14.7500mm","21.7500mm","TopLayer","270","10uF"
"C3","14.7500mm","20.0000mm","TopLayer","90","10uF"
"U1","12.7500mm","20.2500mm","TopLayer","270","TPS63001"
"C4","10.9000mm","21.0000mm","TopLayer","90","10uF"
"C5","14.7500mm","13.0000mm","TopLayer","90","10uF"
"C6","14.7500mm","14.7500mm","TopLayer","270","10uF"
"C7","14.7500mm","16.5000mm","TopLayer","90","10uF"
"C8","10.9000mm","14.0000mm","TopLayer","90","10uF"
"U2","12.7500mm","13.2500mm","TopLayer","270","TPS63002"
"CH1_J2","12.5000mm","30.0000mm","TopLayer","90","Molex 502426-2030"
"CH2_J2","15.5000mm","37.5000mm","TopLayer","0","Molex 502426-2030"
"CH3_J2","25.0000mm","37.5000mm","TopLayer","0","Molex 502426-2030"
"CH4_J2","34.5000mm","37.5000mm","TopLayer","0","Molex 502426-2030"
"CH5_J2","37.5000mm","30.0000mm","TopLayer","270","Molex 502426-2030"
"CH1_R7","14.7500mm","30.7000mm","TopLayer","90","4.7kR"
"CH2_R7","17.7500mm","35.2500mm","TopLayer","0","4.7kR"
"CH3_R7","26.5000mm","35.2500mm","TopLayer","0","4.7kR"
"CH4_R7","33.5000mm","35.2500mm","TopLayer","0","4.7kR"
"CH5_R7","35.2500mm","28.7500mm","TopLayer","270","4.7kR"
"CH1_R8","14.7500mm","32.5000mm","TopLayer","270","4.7kR"
"CH2_R8","19.5000mm","35.2500mm","TopLayer","180","4.7kR"
"CH3_R8","28.2500mm","35.2500mm","TopLayer","180","4.7kR"
"CH4_R8","35.2500mm","35.2500mm","TopLayer","180","4.7kR"
"CH5_R8","35.2500mm","27.0000mm","TopLayer","90","4.7kR"
"CH1_C23","14.7500mm","27.7500mm","TopLayer","90","1uF"
"CH2_C23","11.0000mm","36.5000mm","TopLayer","90","1uF"
"CH3_C23","23.0000mm","35.2500mm","TopLayer","0","1uF"
"CH4_C23","31.7500mm","35.2500mm","TopLayer","0","1uF"
"CH5_C23","35.2500mm","32.2500mm","TopLayer","270","1uF"
"C18","16.2500mm","16.0000mm","TopLayer","180","100nF"
"R3","15.0000mm","11.0000mm","TopLayer","0","4.7kR"
"R4","16.7500mm","11.0000mm","TopLayer","180","4.7kR"
"U4","16.5000mm","13.5000mm","TopLayer","90","24AA32AT-I/MC"
"J1","25.0000mm","12.4998mm","TopLayer","180","Molex 502426-2630"
"C19","20.2500mm","14.2500mm","TopLayer","270","10uF"
"C22","38.5000mm","21.5000mm","TopLayer","180","1uF"
"C21","38.5000mm","18.2500mm","TopLayer","0","1uF"
"R5","38.5000mm","22.5000mm","TopLayer","180","4.7kR"
"U8","38.5000mm","19.7500mm","TopLayer","180","DRV2605LYZF"
"C20","30.7500mm","13.5000mm","TopLayer","0","10uF"
"R6","38.5000mm","23.5000mm","TopLayer","180","4.7kR"
"U5","19.2500mm","12.0000mm","TopLayer","270","SK6805-EC15"
"U6","30.7500mm","12.0000mm","TopLayer","90","SK6805-EC15"
"M1","36.0950mm","23.5000mm","TopLayer","90","VG0832014L"
"R2","21.7500mm","14.7500mm","TopLayer","0","10kR"
"U3","25.0000mm","25.0000mm","TopLayer","180","PIC32MZ2048EFH144-250I/PH"
"CH5_C24","39.0000mm","25.2500mm","TopLayer","90","1uF"
"CH4_C24","39.0000mm","34.7500mm","TopLayer","90","1uF"
"U7","18.7500mm","14.2500mm","TopLayer","180","SN74LVC1G97DRL"
"CH5_U9","37.2500mm","25.2500mm","TopLayer","90","SN74LVC1G97DRL"
"CH3_C24","29.7500mm","39.0000mm","TopLayer","180","1uF"
"CH3_U9","29.7500mm","37.2500mm","TopLayer","180","SN74LVC1G97DRL"
"CH2_C24","20.2500mm","39.0000mm","TopLayer","180","1uF"
"CH2_U9","20.2500mm","37.2500mm","TopLayer","180","SN74LVC1G97DRL"
"CH1_C24","11.0000mm","34.7500mm","TopLayer","270","1uF"
"CH1_U9","12.7500mm","34.7500mm","TopLayer","270","SN74LVC1G97DRL"
"CH4_U9","37.2500mm","34.7500mm","TopLayer","90","SN74LVC1G97DRL"
